CC,ECC,PI,PSN
BA,e4,f999,*BIRAC* 
BA,e4,ff80,SIKRADIO
BE,e0,0000,AFNEAGLE
BE,e0,003f,. warm .
BE,e0,0633,PACIFIC 
BE,e0,1329,Jess Fm 
BE,e0,1599,METROPOL
BE,e0,4001, L R M  
BE,e0,40fe,RADIOMFM
BE,e0,40ff,KOMILFOO
BE,e0,5158,MOVE    
BE,e0,6011,.ITALIA.
BE,e0,6016,-PRIMA- 
BE,e0,6030,EQUINOXE
BE,e0,6035, CAMPUS 
BE,e0,6036,AFNEAGLE
BE,e0,603c,BEVERLND
BE,e0,603d,R.O.A.  
BE,e0,6040,RAMDAM  
BE,e0,6051,  J600  
BE,e0,6059,BELOEIL 
BE,e0,6071,FANTASY 
BE,e0,60ab,MINERVA 
BE,e0,60ac, BRUZZ  
BE,e0,60b2,IMPACTFM
BE,e0,60cc,CHRISTIN
BE,e0,60d4,PLUS+TOP
BE,e0,60f1,RADIOBOO
BE,e0,60f2,UrgentFM
BE,e0,60f7,  ZRO   
BE,e0,60f8,  RLVW  
BE,e0,60fd,RADIOGRK
BE,e0,60fe, I.R.O. 
BE,e0,60ff,  STAD  
BE,e0,6141, B U Z Z
BE,e0,6217,FUNRADIO
BE,e0,621d,SUDRADIO
BE,e0,6220,RCF     
BE,e0,62b1,Victoria
BE,e0,62ff,CK-RADIO
BE,e0,6300,MUST FM 
BE,e0,6301,RADIO 1 
BE,e0,6302,RADIO 2 
BE,e0,6303,Klara   
BE,e0,6304,STU BRU 
BE,e0,6305,  MNM   
BE,e0,6306,Q-music 
BE,e0,6309, N R J  
BE,e0,630a,  VBRO  
BE,e0,630b,TOPRADIO
BE,e0,630c,STADSRAD
BE,e0,630e,- 48FM -
BE,e0,630f,EQUINOXE
BE,e0,6314,CONTACT 
BE,e0,6315,CONTACT 
BE,e0,6333,CLUB FM 
BE,e0,6334,Oostnde1
BE,e0,6340, PANIK! 
BE,e0,6342,AIRLIBRE
BE,e0,6351,PREMIERE
BE,e0,6352,VIVACITE
BE,e0,6353,MUSIQ 3 
BE,e0,6354,CLASS.21
BE,e0,6355,  PURE  
BE,e0,6364,SUNSHINE
BE,e0,6366,  BRF1  
BE,e0,6367,  BRF2  
BE,e0,6369,HITRADIO
BE,e0,636a,hit fm  
BE,e0,636f,ANTIPODE
BE,e0,6370,BEL  RTL
BE,e0,637a,JUDAICA 
BE,e0,637b,  VBRO  
BE,e0,6380,NOSTALGI
BE,e0,6381,  NRJ   
BE,e0,6395, FAMILY 
BE,e0,63ba,*QUARTZ*
BE,e0,63be,FLASH FM
BE,e0,63c9,HITRADIO
BE,e0,63e0,GOLD  FM
BE,e0,63e1,  K I F 
BE,e0,63e9,KOMPAS  
